
@EmfiSecurities;2019-05-30 18:40;0;0;"Ibovespa rises with external optimism overshadowing weak reading of Brazil's GDP - http://Investing.com";;;;"1134167613209284608";https://twitter.com/EmfiSecurities/status/1134167613209284608
@FBS_marketnews;2019-05-30 00:47;0;0;""USDBRL, Ibovespa Wobble at Key Price Levels Ahead of GDP Data" The Brazilian Real and Ibovespa equity index may feel pain ahead of the release of local inflation and GDP data after a painful first quarter. ";;;;"1133897589802315776";https://twitter.com/FBS_marketnews/status/1133897589802315776
@ZabelinDimitri;2019-05-30 00:33;3;4;"#USDBRL, #Ibovespa Wobble at Key Price Levels Ahead of GDP Data - https://www.dailyfx.com/forex/market_alert/2019/05/30/USDBRL-Ibovespa-Wobble-at-Key-Price-Levels-Ahead-of-GDP-Data.html?utm_source=Twitter&amp;utm_medium=zabelin&amp;utm_campaign=twr";;;#USDBRL #Ibovespa;"1133894277967179776";https://twitter.com/ZabelinDimitri/status/1133894277967179776
@EmfiSecurities;2019-05-29 22:20;0;0;"Dollar falls to R $3.97 and beats minimum in 20 days with policy; banks "save" the Ibovespa - InfoMoney &#13;https://www.infomoney.com.br/mercados/acoes-e-indices/noticia/8355118/dolar-cai-para-r-397-e-bate-minima-em-20-dias-com-politica-bancos-salvam-o-ibovespa";;;;"1133860585303621640";https://twitter.com/EmfiSecurities/status/1133860585303621640
@BrazilianReport;2019-05-29 21:03;0;3;"How ​#Brazil's #StockMarket closed today: - Ibovespa index: +0.18% (96,566.55) - USD bid: 3.9752/ USD offer: 3.9761 (-1.195%) via @uol and @BancoCentralBR";;@UOL @BancoCentralBR;#Brazil #StockMarket;"1133841350405894153";https://twitter.com/BrazilianReport/status/1133841350405894153
@the_chart_life;2019-05-29 18:09;0;4;"$IBOV vs. $SPX Ibovespa vs. S&amp;P 500 ...Looks like a base/breakout and failed breakdown. I like it. ";;;;"1133797476937420800";https://twitter.com/the_chart_life/status/1133797476937420800
@the_chart_life;2019-05-29 17:29;1;1;"$BVSP Ibovespa ...Getting stronger over the last week or so. ";;;;"1133787528203591682";https://twitter.com/the_chart_life/status/1133787528203591682
@cFm7Yp4IvyTVMgW;2019-05-29 01:50;0;0;"#FXGOLD BRL, Ibovespa Threatened by Trade Wars and Financial Vulnerability TALKING POINTS – BRAZIL DEBT, BRL FORECAST, IBOVESPA, BOLSONARO, BRAZIL PENSION REFORMS Brazilian outstanding loans expected to reach new highs http://www.fxgold.com/en/LastNewsDetails.aspx?p=1256";;;#FXGOLD;"1133551128765878272";https://twitter.com/cFm7Yp4IvyTVMgW/status/1133551128765878272
@DailyFXTeam;2019-05-29 00:35;2;2;"Confidence in #BRL and the #Ibovespa stock index may be undermined by worries about Brazil's financial stability as an inhospitable outlook undermines growth. Read more here - ";;;#BRL #Ibovespa;"1133532375290241024";https://twitter.com/DailyFXTeam/status/1133532375290241024
@EmfiSecurities;2019-05-28 15:50;0;0;"Ibovespa rises with attention to the political news; Dollar Beats $3.30 - Economical Value &#13;https://www.valor.com.br/financas/6277187/ibovespa-sobe-com-atencao-ao-noticiario-politico-dolar-bate-r-403";;;;"1133400122325372929";https://twitter.com/EmfiSecurities/status/1133400122325372929
@patrickrooney;2019-05-27 14:46;1;3;"#Ibovespa futures ripped higher at @B3_Oficial. @Trading_Tech #WIN #stocks #markets #trading #Brazil";;@B3_Oficial @Trading_Tech;#Ibovespa #WIN #stocks #markets #trading #Brazil;"1133021653598908417";https://twitter.com/patrickrooney/status/1133021653598908417
@ZabelinDimitri;2019-05-27 03:16;3;4;"Themes for tonight's webinar: #Europeanelections (#EUR, #CHF, bond markets) #US-Japan trade talks (#USD, #JPY #SP500) #Brazil politics (#BRL, #ibovespa) #Iran (#crudeoil prices) #EU-US trade talks (#DAX) #Brexit (#GBP) https://www.dailyfx.com/registerToSeminar?webinar=9005698817265404163?utm_source=Twitter&amp;utm_medium=zabelin&amp;utm_campaign=twr";;;#Europeanelections #EUR #CHF #US #USD #JPY #SP500 #Brazil #BRL #ibovespa #Iran #crudeoil #EU #DAX #Brexit #GBP;"1132847983907622912";https://twitter.com/ZabelinDimitri/status/1132847983907622912
